instancia,otimo,tempo_1shift,gap,tempo_exec_ms
N20ft301.dat,661.6,661.60,0.00%,0.626
N20ft302.dat,684.2,703.00,2.75%,0.784
N20ft303.dat,746.4,746.40,0.00%,0.593
N20ft304.dat,817.0,Inviável,-,0.000
N20ft305.dat,716.5,Inviável,-,0.000
N20ft306.dat,727.8,Inviável,-,0.000
N20ft307.dat,691.8,Inviável,-,0.000
N20ft308.dat,788.2,Inviável,-,0.000
N20ft309.dat,730.7,751.80,2.89%,0.934
N20ft310.dat,683.0,Inviável,-,0.000
N20ft401.dat,660.8,Inviável,-,0.000
N20ft402.dat,684.2,701.00,2.46%,0.724
N20ft403.dat,746.4,Inviável,-,0.000
N20ft404.dat,817.0,Inviável,-,0.000
N20ft405.dat,716.5,Inviável,-,0.000
N20ft406.dat,727.8,Inviável,-,0.000
N20ft407.dat,691.8,Inviável,-,0.000
N20ft408.dat,757.3,Inviável,-,0.000
N20ft409.dat,730.7,749.80,2.61%,0.587
N20ft410.dat,683.0,Inviável,-,0.000
N40ft201.dat,1100.6,Inviável,-,0.000
N40ft202.dat,1010.4,1017.40,0.69%,5.365
N40ft203.dat,876.8,903.10,3.00%,6.240
N40ft204.dat,885.8,Inviável,-,0.000
N40ft205.dat,940.9,Inviável,-,0.000
N40ft206.dat,1054.2,1081.90,2.63%,4.836
N40ft207.dat,867.5,Inviável,-,0.000
N40ft208.dat,1050.7,Inviável,-,0.000
N40ft209.dat,1013.9,Inviável,-,0.000
N40ft210.dat,1026.3,1035.30,0.88%,3.729
N40ft401.dat,1085.0,Inviável,-,0.000
N40ft402.dat,995.6,Inviável,-,0.000
N40ft403.dat,845.8,Inviável,-,0.000
N40ft404.dat,868.0,Inviável,-,0.000
N40ft405.dat,936.5,Inviável,-,0.000
N40ft406.dat,969.1,Inviável,-,0.000
N40ft407.dat,831.2,Inviável,-,0.000
N40ft408.dat,1002.7,Inviável,-,0.000
N40ft409.dat,1000.5,Inviável,-,0.000
N40ft410.dat,983.8,1034.30,5.13%,3.737
N60ft201.dat,1353.5,Inviável,-,0.000
N60ft202.dat,1161.6,Inviável,-,0.000
N60ft203.dat,1182.9,Inviável,-,0.000
N60ft204.dat,1257.5,Inviável,-,0.000
N60ft205.dat,1184.1,Inviável,-,0.000
N60ft206.dat,1199.6,Inviável,-,0.000
N60ft207.dat,1299.0,Inviável,-,0.000
N60ft208.dat,1113.0,Inviável,-,0.000
N60ft209.dat,1171.3,Inviável,-,0.000
N60ft210.dat,1234.3,Inviável,-,0.000
N60ft301.dat,1337.0,Inviável,-,0.000
N60ft302.dat,1089.5,Inviável,-,0.000
N60ft303.dat,1179.0,Inviável,-,0.000
N60ft304.dat,1230.0,Inviável,-,0.000
N60ft305.dat,1151.6,Inviável,-,0.000
N60ft306.dat,1167.9,Inviável,-,0.000
N60ft307.dat,1220.1,Inviável,-,0.000
N60ft308.dat,1097.6,Inviável,-,0.000
N60ft309.dat,1140.6,Inviável,-,0.000
N60ft310.dat,1219.2,Inviável,-,0.000
N60ft401.dat,1335.0,Inviável,-,0.000
N60ft402.dat,1088.1,Inviável,-,0.000
N60ft403.dat,1173.7,Inviável,-,0.000
N60ft404.dat,1184.7,Inviável,-,0.000
N60ft405.dat,1146.2,Inviável,-,0.000
N60ft406.dat,1140.2,Inviável,-,0.000
N60ft407.dat,1198.9,Inviável,-,0.000
N60ft408.dat,1029.4,Inviável,-,0.000
N60ft409.dat,1121.4,Inviável,-,0.000
N60ft410.dat,1189.6,Inviável,-,0.000
