instancia,otimo_conhecido,solucao_gulosa,tempo_execucao_ms
N20ft301.dat,661.60,661.60,0.904
N20ft302.dat,684.20,710.40,1.171
N20ft303.dat,746.40,INVIAVEL,0.058
N20ft304.dat,817.00,817.00,0.831
N20ft305.dat,716.50,724.70,0.566
N20ft306.dat,727.80,INVIAVEL,0.041
N20ft307.dat,691.80,INVIAVEL,0.042
N20ft308.dat,788.20,INVIAVEL,0.067
N20ft309.dat,730.70,751.80,0.583
N20ft310.dat,683.00,INVIAVEL,0.060
N20ft401.dat,660.80,661.60,1.003
N20ft402.dat,684.20,703.40,1.674
N20ft403.dat,746.40,INVIAVEL,0.059
N20ft404.dat,817.00,INVIAVEL,0.058
N20ft405.dat,716.50,724.70,0.688
N20ft406.dat,727.80,INVIAVEL,0.042
N20ft407.dat,691.80,INVIAVEL,0.041
N20ft408.dat,757.30,INVIAVEL,0.040
N20ft409.dat,730.70,749.80,0.744
N20ft410.dat,683.00,INVIAVEL,0.059
N40ft201.dat,1100.60,INVIAVEL,0.132
N40ft202.dat,1010.40,INVIAVEL,0.196
N40ft203.dat,876.80,903.10,4.029
N40ft204.dat,885.80,897.40,4.849
N40ft205.dat,940.90,983.60,4.183
N40ft206.dat,1054.20,1081.90,4.110
N40ft207.dat,867.50,INVIAVEL,0.212
N40ft208.dat,1050.70,INVIAVEL,0.179
N40ft209.dat,1013.90,1027.50,3.732
N40ft210.dat,1026.30,1035.30,3.904
N40ft401.dat,1085.00,INVIAVEL,0.147
N40ft402.dat,995.60,INVIAVEL,0.263
N40ft403.dat,845.80,903.10,4.069
N40ft404.dat,868.00,897.40,3.851
N40ft405.dat,936.50,982.60,3.854
N40ft406.dat,969.10,1081.90,4.114
N40ft407.dat,831.20,INVIAVEL,0.175
N40ft408.dat,1002.70,1043.50,4.129
N40ft409.dat,1000.50,INVIAVEL,0.175
N40ft410.dat,983.80,1034.30,3.893
N60ft201.dat,1353.50,1377.80,22.288
N60ft202.dat,1161.60,INVIAVEL,0.330
N60ft203.dat,1182.90,INVIAVEL,0.337
N60ft204.dat,1257.50,INVIAVEL,0.255
N60ft205.dat,1184.10,INVIAVEL,0.254
N60ft206.dat,1199.60,INVIAVEL,0.251
N60ft207.dat,1299.00,INVIAVEL,0.390
N60ft208.dat,1113.00,1172.60,12.070
N60ft209.dat,1171.30,INVIAVEL,0.273
N60ft210.dat,1234.30,1273.20,12.713
N60ft301.dat,1337.00,1376.80,21.046
N60ft302.dat,1089.50,INVIAVEL,0.238
N60ft303.dat,1179.00,INVIAVEL,0.521
N60ft304.dat,1230.00,INVIAVEL,0.366
N60ft305.dat,1151.60,INVIAVEL,0.260
N60ft306.dat,1167.90,INVIAVEL,0.346
N60ft307.dat,1220.10,INVIAVEL,0.258
N60ft308.dat,1097.60,INVIAVEL,0.250
N60ft309.dat,1140.60,INVIAVEL,0.248
N60ft310.dat,1219.20,INVIAVEL,0.250
N60ft401.dat,1335.00,1375.80,20.867
N60ft402.dat,1088.10,INVIAVEL,0.251
N60ft403.dat,1173.70,INVIAVEL,0.370
N60ft404.dat,1184.70,1283.60,14.906
N60ft405.dat,1146.20,1212.50,20.760
N60ft406.dat,1140.20,INVIAVEL,0.570
N60ft407.dat,1198.90,INVIAVEL,1.022
N60ft408.dat,1029.40,INVIAVEL,0.447
N60ft409.dat,1121.40,INVIAVEL,0.441
N60ft410.dat,1189.60,INVIAVEL,0.389
