instancia,otimo,tempo_1shift,gap,tempo_exec_ms
rc_201.1.txt,592.06,592.06,0.00%,0.582
rc_201.2.txt,860.17,Inviável,-,0.000
rc_201.3.txt,853.71,Inviável,-,0.000
rc_201.4.txt,889.18,Inviável,-,0.000
rc_202.1.txt,850.48,Inviável,-,0.000
rc_202.2.txt,338.52,Inviável,-,0.000
rc_202.3.txt,894.1,Inviável,-,0.000
rc_202.4.txt,853.71,Inviável,-,0.000
rc_203.1.txt,488.42,Inviável,-,0.000
rc_203.2.txt,853.71,Inviável,-,0.000
rc_203.3.txt,921.44,Inviável,-,0.000
rc_203.4.txt,338.52,Inviável,-,0.000
rc_204.1.txt,917.83,Inviável,-,0.000
rc_204.2.txt,690.06,Inviável,-,0.000
rc_204.3.txt,455.03,Inviável,-,0.000
rc_205.1.txt,417.81,Inviável,-,0.000
rc_205.2.txt,820.19,Inviável,-,0.000
rc_205.3.txt,950.05,Inviável,-,0.000
rc_205.4.txt,837.71,Inviável,-,0.000
rc_206.1.txt,117.85,117.85,-0.00%,0.020
rc_206.2.txt,870.49,Inviável,-,0.000
rc_206.3.txt,650.59,Inviável,-,0.000
rc_206.4.txt,911.98,Inviável,-,0.000
rc_207.1.txt,804.67,Inviável,-,0.000
rc_207.2.txt,713.9,Inviável,-,0.000
rc_207.3.txt,745.77,Inviável,-,0.000
rc_207.4.txt,133.14,133.14,0.00%,0.049
rc_208.1.txt,810.7,Inviável,-,0.000
rc_208.2.txt,579.51,604.75,4.36%,49.267
rc_208.3.txt,686.8,Inviável,-,0.000
