instancia,otimo_conhecido,solucao_gulosa,tempo_execucao_ms
rc_201.1.txt,592.06,INVIAVEL,0.039
rc_201.2.txt,860.17,861.91,0.051
rc_201.3.txt,853.71,INVIAVEL,0.070
rc_201.4.txt,889.18,INVIAVEL,0.048
rc_202.1.txt,850.48,INVIAVEL,0.073
rc_202.2.txt,338.52,338.52,0.019
rc_202.3.txt,894.10,INVIAVEL,0.059
rc_202.4.txt,853.71,INVIAVEL,0.054
rc_203.1.txt,488.42,INVIAVEL,0.032
rc_203.2.txt,853.71,INVIAVEL,0.073
rc_203.3.txt,921.44,INVIAVEL,0.095
rc_203.4.txt,338.52,INVIAVEL,0.020
rc_204.1.txt,917.83,INVIAVEL,0.134
rc_204.2.txt,690.06,INVIAVEL,0.075
rc_204.3.txt,455.03,INVIAVEL,0.045
rc_205.1.txt,417.81,417.81,0.024
rc_205.2.txt,820.19,INVIAVEL,0.050
rc_205.3.txt,950.05,950.05,0.087
rc_205.4.txt,837.71,INVIAVEL,0.059
rc_206.1.txt,117.85,118.62,0.005
rc_206.2.txt,870.49,INVIAVEL,0.096
rc_206.3.txt,650.59,INVIAVEL,0.048
rc_206.4.txt,911.98,INVIAVEL,0.099
rc_207.1.txt,804.67,INVIAVEL,0.082
rc_207.2.txt,713.90,INVIAVEL,0.070
rc_207.3.txt,745.77,INVIAVEL,0.078
rc_207.4.txt,133.14,133.14,0.007
rc_208.1.txt,810.70,INVIAVEL,0.098
rc_208.2.txt,579.51,INVIAVEL,0.062
rc_208.3.txt,686.80,INVIAVEL,0.091
