instancia,otimo,tempo_1shift,gap,tempo_exec_ms
rbg010a.tw,671.0,3840.00,472.28%,0.148
rbg016a.tw,938.0,2596.00,176.76%,0.528
rbg016b.tw,1304.0,2094.00,60.58%,0.584
rbg017.2.tw,852.0,2351.00,175.94%,0.381
rbg017.tw,893.0,2351.00,163.27%,0.464
rbg017a.tw,4296.0,4296.00,0.00%,0.401
rbg019a.tw,1262.0,2694.00,113.47%,0.538
rbg019b.tw,1866.0,3840.00,105.79%,0.666
rbg019c.tw,4536.0,4536.00,0.00%,1.035
rbg019d.tw,1356.0,3479.00,156.56%,0.584
rbg020a.tw,4689.0,4689.00,0.00%,0.582
rbg021.2.tw,4528.0,4536.00,0.18%,0.747
rbg021.3.tw,4528.0,4536.00,0.18%,1.067
rbg021.4.tw,4525.0,4536.00,0.24%,0.812
rbg021.5.tw,4515.0,4536.00,0.47%,0.808
rbg021.6.tw,4480.0,4524.00,0.98%,5.730
rbg021.7.tw,4479.0,4522.00,0.96%,3.500
rbg021.8.tw,4478.0,4522.00,0.98%,3.889
rbg021.9.tw,4478.0,4522.00,0.98%,3.784
rbg021.tw,,4536.00,0.00%,1.101
rbg027a.tw,5091.0,5097.00,0.12%,3.817
rbg031a.tw,1863.0,3498.00,87.76%,3.465
rbg033a.tw,2069.0,3757.00,81.59%,9.120
rbg034a.tw,2222.0,3314.00,49.14%,3.510
rbg035a.2.tw,2056.0,3325.00,61.72%,4.363
rbg035a.tw,2144.0,3388.00,58.02%,6.433
rbg038a.tw,2480.0,5699.00,129.80%,4.306
rbg040a.tw,2378.0,5679.00,138.81%,5.149
rbg041a.tw,2598.0,3793.00,46.00%,5.633
rbg042a.tw,2772.0,3261.00,17.64%,49.263
rbg048a.tw,9383.0,9799.00,4.43%,66.304
rbg049a.tw,10018.0,13257.00,32.33%,19.073
rbg050a.tw,2953.0,12050.00,308.06%,12.119
rbg050b.tw,9863.0,11972.00,21.38%,132.593
rbg050c.tw,10024.0,10985.00,9.59%,146.624
rbg055a.tw,3761.0,6929.00,84.23%,11.114
rbg067a.tw,4625.0,10331.00,123.37%,19.750
rbg086a.tw,8400.0,16899.00,101.18%,38.374
rbg092a.tw,7158.0,12501.00,74.64%,47.704
rbg125a.tw,7936.0,14214.00,79.11%,227.907
rbg132.2.tw,8191.0,18524.00,126.15%,133.788
rbg132.tw,8468.0,18524.00,118.75%,125.742
rbg152.3.tw,9788.0,17455.00,78.33%,215.944
rbg152.tw,10032.0,17455.00,73.99%,190.231
rbg172a.tw,10950.0,17784.00,62.41%,3247.889
rbg193.2.tw,12138.0,21401.00,76.31%,414.665
rbg193.tw,12535.0,21401.00,70.73%,387.460
rbg201a.tw,12948.0,21380.00,65.12%,459.603
rbg233.2.tw,,26143.00,0.00%,702.718
rbg233.tw,,26143.00,0.00%,675.321
