instancia,otimo,tempo_sa,gap,status,tempo_exec_ms
rbg010a.tw,3840.0,3840.00,0.00%,Viável,671.890
rbg016a.tw,2596.0,2596.00,0.00%,Viável,878.007
rbg016b.tw,2094.0,2094.00,0.00%,Viável,858.424
rbg017.2.tw,2351.0,2351.00,0.00%,Viável,790.390
rbg017.tw,2351.0,2351.00,0.00%,Viável,821.580
rbg017a.tw,4296.0,4296.00,0.00%,Viável,884.397
rbg019a.tw,2694.0,2694.00,0.00%,Viável,947.212
rbg019b.tw,3840.0,3840.00,0.00%,Viável,944.559
rbg019c.tw,4536.0,4536.00,0.00%,Viável,948.435
rbg019d.tw,3479.0,3479.00,0.00%,Viável,932.730
rbg020a.tw,4689.0,4689.00,0.00%,Viável,980.779
rbg021.2.tw,4528.0,4533.00,0.11%,Viável,934.278
rbg021.3.tw,4528.0,4540.00,0.27%,Viável,932.564
rbg021.4.tw,4525.0,4525.00,0.00%,Viável,917.286
rbg021.5.tw,4516.0,4528.00,0.27%,Viável,937.480
rbg021.6.tw,4492.0,4496.00,0.09%,Viável,921.694
rbg021.7.tw,4481.0,4488.00,0.16%,Viável,919.386
rbg021.8.tw,4481.0,4481.00,0.00%,Viável,908.108
rbg021.9.tw,4481.0,4487.00,0.13%,Viável,909.628
rbg021.tw,4536.0,4536.00,0.00%,Viável,929.400
rbg027a.tw,5093.0,5093.00,0.00%,Viável,1169.944
rbg031a.tw,3498.0,3498.00,0.00%,Viável,1282.022
rbg033a.tw,3757.0,3757.00,0.00%,Viável,1387.175
rbg034a.tw,3314.0,3314.00,0.00%,Viável,1400.957
rbg035a.2.tw,3325.0,3325.00,0.00%,Viável,1392.626
rbg035a.tw,3388.0,3388.00,0.00%,Viável,1409.849
rbg038a.tw,5699.0,5699.00,0.00%,Viável,1538.769
rbg040a.tw,5679.0,5679.00,0.00%,Viável,1556.990
rbg041a.tw,3793.0,3793.00,0.00%,Viável,1601.563
rbg042a.tw,3260.0,3261.00,0.03%,Viável,1602.938
rbg048a.tw,9799.0,9799.00,0.00%,Viável,1768.437
rbg049a.tw,13257.0,13257.00,0.00%,Viável,1812.669
rbg050a.tw,12050.0,12050.00,0.00%,Viável,1855.849
rbg050b.tw,11957.0,11957.00,0.00%,Viável,1855.297
rbg050c.tw,10985.0,10985.00,0.00%,Viável,1836.078
rbg055a.tw,6929.0,6929.00,0.00%,Viável,1971.624
rbg067a.tw,10331.0,10331.00,0.00%,Viável,2428.235
rbg086a.tw,16899.0,16899.00,0.00%,Viável,3021.910
rbg092a.tw,12501.0,12501.00,0.00%,Viável,3192.651
rbg125a.tw,14214.0,14214.00,0.00%,Viável,4187.255
rbg132.2.tw,18524.0,18524.00,0.00%,Viável,4350.583
rbg132.tw,18524.0,18524.00,0.00%,Viável,4259.496
rbg152.3.tw,17455.0,17455.00,0.00%,Viável,4848.744
rbg152.tw,17455.0,17455.00,0.00%,Viável,4931.745
rbg172a.tw,17783.0,17784.00,0.01%,Viável,5636.129
rbg193.2.tw,21401.0,21401.00,0.00%,Viável,6155.444
rbg193.tw,21401.0,21401.00,0.00%,Viável,6239.169
rbg201a.tw,21380.0,21380.00,0.00%,Viável,9639.464
rbg233.2.tw,26143.0,26143.00,0.00%,Viável,8760.894
rbg233.tw,26143.0,26143.00,0.00%,Viável,7434.678
