instancia,otimo_conhecido,solucao_gulosa,tempo_execucao_ms
rbg010a.tw,3840,3840.00,0.023
rbg016a.tw,2596,2596.00,0.026
rbg016b.tw,2094,2094.00,0.025
rbg017.2.tw,2351,2351.00,0.022
rbg017.tw,2351,2351.00,0.022
rbg017a.tw,4296,INVIAVEL,0.026
rbg019a.tw,2694,2694.00,0.031
rbg019b.tw,3840,3840.00,0.032
rbg019c.tw,4536,INVIAVEL,0.029
rbg019d.tw,3479,3479.00,0.031
rbg020a.tw,4689,INVIAVEL,0.032
rbg021.2.tw,4528,INVIAVEL,0.031
rbg021.3.tw,4528,INVIAVEL,0.029
rbg021.4.tw,4525,INVIAVEL,0.029
rbg021.5.tw,4516,INVIAVEL,0.030
rbg021.6.tw,4492,INVIAVEL,0.032
rbg021.7.tw,4481,4511.00,0.033
rbg021.8.tw,4481,4511.00,0.033
rbg021.9.tw,4481,4511.00,0.032
rbg021.tw,4536,INVIAVEL,0.030
rbg027a.tw,5093,INVIAVEL,0.068
rbg031a.tw,3498,3498.00,0.116
rbg033a.tw,3757,3757.00,0.121
rbg034a.tw,3314,3314.00,0.093
rbg035a.2.tw,3325,3325.00,0.090
rbg035a.tw,3388,3388.00,0.086
rbg038a.tw,5699,5706.00,0.099
rbg040a.tw,5679,5679.00,0.112
rbg041a.tw,3793,INVIAVEL,0.113
rbg042a.tw,3260,INVIAVEL,0.127
rbg048a.tw,9799,INVIAVEL,0.154
rbg049a.tw,13257,INVIAVEL,0.149
rbg050a.tw,12050,12050.00,0.172
rbg050b.tw,11957,INVIAVEL,0.163
rbg050c.tw,10985,INVIAVEL,0.154
rbg055a.tw,6929,6929.00,0.202
rbg067a.tw,10331,10331.00,0.283
rbg086a.tw,16899,INVIAVEL,0.493
rbg092a.tw,12501,12501.00,0.527
rbg125a.tw,14214,14214.00,0.961
rbg132.2.tw,18524,18524.00,1.232
rbg132.tw,18524,18524.00,1.031
rbg152.3.tw,17455,17455.00,1.351
rbg152.tw,17455,17455.00,1.325
rbg172a.tw,17783,INVIAVEL,1.753
rbg193.2.tw,21401,21401.00,2.146
rbg193.tw,21401,INVIAVEL,2.193
rbg201a.tw,21380,INVIAVEL,2.367
rbg233.2.tw,26143,26143.00,3.148
rbg233.tw,26143,INVIAVEL,3.042
